cliente_id,mes,logins,usuarios_ativos,modulos_usados,tickets_suporte,acoes_realizadas
1,2024-01,53,2,1,1,218
1,2024-02,53,2,1,0,248
1,2024-03,81,4,1,0,565
1,2024-04,104,3,2,0,592
1,2024-05,70,3,1,0,477
1,2024-06,70,2,1,1,411
1,2024-07,76,2,1,1,405
1,2024-08,52,2,1,1,355
1,2024-09,34,1,1,1,163
1,2024-10,24,1,1,0,124
1,2024-11,6,1,1,0,30
1,2024-12,5,1,1,0,25
2,2024-01,5,1,1,0,28
2,2024-02,3,1,1,0,11
2,2024-03,5,1,1,0,36
2,2024-04,8,1,1,2,27
2,2024-05,7,1,1,1,33
2,2024-06,9,1,1,2,33
2,2024-07,6,1,1,1,33
2,2024-08,5,1,1,1,21
2,2024-09,12,1,1,2,55
2,2024-10,8,1,1,0,40
2,2024-11,8,1,1,1,34
2,2024-12,4,1,1,1,18
3,2024-08,49,2,1,2,376
3,2024-09,66,3,1,0,517
3,2024-10,52,3,1,3,335
3,2024-11,74,3,1,0,576
3,2024-12,37,2,1,2,269
4,2024-01,8,1,1,0,27
4,2024-02,8,1,1,2,60
4,2024-03,17,1,2,1,53
4,2024-04,13,1,2,1,65
4,2024-05,10,1,2,2,71
4,2024-06,15,1,1,1,106
4,2024-07,8,1,1,0,26
4,2024-08,11,1,1,2,40
4,2024-09,7,1,1,0,26
4,2024-10,9,1,2,2,65
4,2024-11,13,1,1,1,86
4,2024-12,9,1,1,2,35
5,2024-01,33,1,1,2,136
5,2024-02,38,2,1,1,286
5,2024-03,53,2,1,0,265
5,2024-04,36,2,1,0,278
5,2024-05,42,2,1,3,221
5,2024-06,49,2,1,0,358
5,2024-07,53,2,1,1,193
5,2024-08,46,2,1,3,203
5,2024-09,35,2,1,0,155
5,2024-10,53,2,1,0,340
5,2024-11,48,2,1,0,310
5,2024-12,31,1,1,2,132
6,2024-06,26,1,1,1,207
6,2024-07,25,1,1,0,168
6,2024-08,25,1,1,0,112
6,2024-09,21,1,1,1,123
6,2024-10,23,1,1,2,84
6,2024-11,26,1,1,0,83
6,2024-12,18,1,1,0,137
7,2024-01,29,1,1,0,132
7,2024-02,31,1,1,2,116
7,2024-03,37,2,1,0,138
7,2024-04,32,1,1,2,165
7,2024-05,56,2,1,0,366
7,2024-06,57,2,1,2,206
7,2024-07,37,1,1,0,142
7,2024-08,45,1,1,2,266
7,2024-09,49,2,1,1,249
7,2024-10,36,2,1,2,112
7,2024-11,49,2,1,1,380
7,2024-12,42,1,1,2,264
8,2024-01,30,1,2,3,188
8,2024-02,40,1,2,2,311
8,2024-03,19,1,3,1,87
8,2024-04,44,1,3,0,219
8,2024-05,39,2,3,0,283
8,2024-06,36,2,3,2,225
8,2024-07,34,1,2,1,239
8,2024-08,20,1,2,0,126
8,2024-09,41,2,3,1,220
8,2024-10,44,2,3,2,267
8,2024-11,52,1,3,0,276
8,2024-12,22,1,1,1,135
9,2024-06,35,2,2,0,131
9,2024-07,33,1,1,2,185
9,2024-08,43,1,1,0,138
9,2024-09,44,2,1,1,257
9,2024-10,37,1,1,0,132
9,2024-11,50,1,2,0,170
9,2024-12,32,1,1,1,203
10,2024-07,48,1,1,2,188
10,2024-08,34,1,1,1,250
10,2024-09,42,2,1,0,162
10,2024-10,44,2,1,2,264
10,2024-11,34,2,1,0,216
10,2024-12,35,1,1,0,107
